,Unnamed: 0,Unnamed: 0.1,Session:Name,Record #,Speaker,Orthography,Segment,Notes,situation,Session,start_time,end_time,start_seconds,end_seconds,pre_utt,pre_speaker,post_starttime,post_utt,post_speaker,pause_after,SpeechAct,ClauseType,comments
583,583,583,Alex.030516,584,Mother,ready set go .,018:44.021-018:45.378,,,Alex030516,018:44.021,018:45.378,1124.021,1125.378,but leave it to you to change it .,Mother,1125.43,xxx .,Alex,0.052000000000134605,,,
584,584,584,Alex.030516,585,Alex,xxx .,018:45.430-018:50.786,,laughter and grunting,Alex030516,018:45.430,018:50.786,1125.43,1130.786,ready set go .,Mother,1127.21,xxx swinging like a monk<ey>,Mother,-3.5760000000000223,,,
585,585,585,Alex.030516,586,Mother,xxx swinging like a monk<ey>,018:47.210-018:49.669,,,Alex030516,018:47.210,018:49.669,1127.21,1129.669,xxx .,Alex,1129.687,go <a>head,Mother,0.01799999999980173,,,
586,586,586,Alex.030516,587,Mother,go <a>head,018:49.687-018:50.077,,,Alex030516,018:49.687,018:50.077,1129.687,1130.077,xxx swinging like a monk<ey>,Mother,1130.135,watch what you're doing .,Mother,0.057999999999992724,,,
587,587,587,Alex.030516,588,Mother,watch what you're doing .,018:50.135-018:50.653,,,Alex030516,018:50.135,018:50.653,1130.135,1130.653,go <a>head,Mother,1131.044,you hafta hold on .,Mother,0.3910000000000764,,,
588,588,588,Alex.030516,589,Mother,you hafta hold on .,018:51.044-018:52.155,,,Alex030516,018:51.044,018:52.155,1131.044,1132.155,watch what you're doing .,Mother,1132.155,{ Mommy (x) } yyy wanna do the elephant bars ?,Alex,0.0,,,
589,589,589,Alex.030516,590,Alex,{ Mommy (x) } yyy wanna do the elephant bars ?,018:52.155-018:55.780,,,Alex030516,018:52.155,018:55.780,1132.155,1135.78,you hafta hold on .,Mother,1135.763,monkey bars .,Mother,-0.01700000000005275,,,
590,590,590,Alex.030516,591,Mother,monkey bars .,018:55.763-018:56.777,,,Alex030516,018:55.763,018:56.777,1135.763,1136.777,{ Mommy (x) } yyy wanna do the elephant bars ?,Alex,1137.058,no elephant bars .,Alex,0.2809999999999491,,,
591,591,591,Alex.030516,592,Alex,no elephant bars .,018:57.058-018:59.190,,,Alex030516,018:57.058,018:59.190,1137.058,1139.19,monkey bars .,Mother,1137.747,Alex you hafta hold on .,Mother,-1.4429999999999836,,,
592,592,592,Alex.030516,593,Mother,Alex you hafta hold on .,018:57.747-018:59.220,,,Alex030516,018:57.747,018:59.220,1137.747,1139.22,no elephant bars .,Alex,1139.19,yyy yyy yyy elephant bars .,Alex,-0.02999999999997272,,,
593,593,593,Alex.030516,594,Alex,yyy yyy yyy elephant bars .,018:59.190-019:02.680,,,Alex030516,018:59.190,019:02.680,1139.19,1142.68,Alex you hafta hold on .,Mother,1140.153,see watch,Mother,-2.5270000000000437,,,
594,594,594,Alex.030516,595,Mother,see watch,019:00.153-019:00.814,,,Alex030516,019:00.153,019:00.814,1140.153,1140.814,yyy yyy yyy elephant bars .,Alex,1140.848,hold on hold on .,Mother,0.033999999999878135,,,
595,595,595,Alex.030516,596,Mother,hold on hold on .,019:00.848-019:02.121,,,Alex030516,019:00.848,019:02.121,1140.848,1142.121,see watch,Mother,1142.68,ready xxx,Mother,0.5589999999999691,,,
596,596,596,Alex.030516,597,Mother,ready xxx,019:02.680-019:03.053,,,Alex030516,019:02.680,019:03.053,1142.68,1143.053,hold on hold on .,Mother,1143.087,hold on hold on tight,Mother,0.033999999999878135,,,
597,597,597,Alex.030516,598,Mother,hold on hold on tight,019:03.087-019:04.122,,,Alex030516,019:03.087,019:04.122,1143.087,1144.122,ready xxx,Mother,1144.189,no two hands on that one .,Mother,0.06700000000000728,,,
598,598,598,Alex.030516,599,Mother,no two hands on that one .,019:04.189-019:05.428,,,Alex030516,019:04.189,019:05.428,1144.189,1145.428,hold on hold on tight,Mother,1146.018,two hands ready ?,Mother,0.5899999999999181,,,
599,599,599,Alex.030516,600,Mother,two hands ready ?,019:06.018-019:06.768,,,Alex030516,019:06.018,019:06.768,1146.018,1146.768,no two hands on that one .,Mother,1147.028,see <be>cause if I let go (t:t:trail off),Mother,0.2599999999999909,,,
600,600,600,Alex.030516,601,Mother,see <be>cause if I let go (t:t:trail off),019:07.028-019:08.278,,,Alex030516,019:07.028,019:08.278,1147.028,1148.278,two hands ready ?,Mother,1148.886,xxx .,Alex,0.6079999999999472,,,
601,601,601,Alex.030516,602,Alex,xxx .,019:08.886-019:12.648,,laughter,Alex030516,019:08.886,019:12.648,1148.886,1152.648,see <be>cause if I let go (t:t:trail off),Mother,1150.206,xxx no I won't let go,Mother,-2.442000000000008,,,
602,602,602,Alex.030516,603,Mother,xxx no I won't let go,019:10.206-019:11.535,,,Alex030516,019:10.206,019:11.535,1150.206,1151.535,xxx .,Alex,1151.559,I'm not gonna let go .,Mother,0.023999999999887226,,,
603,603,603,Alex.030516,604,Mother,I'm not gonna let go .,019:11.559-019:12.570,,,Alex030516,019:11.559,019:12.570,1151.559,1152.57,xxx no I won't let go,Mother,1152.648,xxx you let go !,Mother,0.07799999999997452,,,
604,604,604,Alex.030516,605,Mother,xxx you let go !,019:12.648-019:16.066,,[],Alex030516,019:12.648,019:16.066,1152.648,1156.066,I'm not gonna let go .,Mother,1156.066,okay let go .,Alex,0.0,,,
605,605,605,Alex.030516,606,Alex,okay let go .,019:16.066-019:18.351,,[],Alex030516,019:16.066,019:18.351,1156.066,1158.351,xxx you let go !,Mother,0.0,you're so silly .,Mother,-1158.351,,,
